DATE,DEXJPUS
2012-01-20,76.9700
2012-01-23,76.9200
2012-01-24,77.7800
2012-01-25,78.1300
2012-01-26,77.4700
2012-01-27,76.6800
2012-01-30,76.2800
2012-01-31,76.3400
2012-02-01,76.1100
2012-02-02,76.1300
2012-02-03,76.5400
2012-02-06,76.5400
2012-02-07,76.8800
2012-02-08,76.9000
2012-02-09,77.4200
2012-02-10,77.5700
2012-02-13,77.5200
2012-02-14,78.3900
2012-02-15,78.2200
2012-02-16,78.7700
2012-02-17,79.3300
2012-02-20,.
2012-02-21,79.7300
2012-02-22,80.3000
2012-02-23,80.2100
2012-02-24,80.8800
2012-02-27,80.4200
2012-02-28,80.4400
2012-02-29,81.1000
2012-03-01,81.1600
2012-03-02,81.5600
2012-03-05,81.4300
2012-03-06,80.8600
2012-03-07,81.0600
2012-03-08,81.5000
2012-03-09,82.5900
2012-03-12,82.2100
2012-03-13,82.6600
2012-03-14,83.7800
2012-03-15,83.2800
2012-03-16,83.3400
2012-03-19,83.3100
2012-03-20,83.6200
2012-03-21,83.6200
2012-03-22,82.5000
2012-03-23,82.3500
2012-03-26,82.8400
2012-03-27,83.1500
2012-03-28,82.7400
2012-03-29,82.2800
2012-03-30,82.4100
2012-04-02,82.1600
2012-04-03,82.1800
2012-04-04,82.6200
2012-04-05,82.3300
2012-04-06,81.5600
2012-04-09,81.3600
2012-04-10,80.9400
2012-04-11,80.8800
2012-04-12,80.8700
2012-04-13,80.9900
2012-04-16,80.4600
2012-04-17,80.7200
2012-04-18,81.2900
2012-04-19,81.5700
2012-04-20,81.6000
2012-04-23,81.1600
2012-04-24,81.2100
2012-04-25,81.3300
2012-04-26,80.7800
2012-04-27,80.4800
2012-04-30,79.8100
2012-05-01,80.1700
2012-05-02,80.1900
2012-05-03,80.3600
2012-05-04,79.8400
2012-05-07,79.8800
2012-05-08,79.7900
2012-05-09,79.6400
2012-05-10,79.9100
2012-05-11,79.8600
2012-05-14,79.8300
2012-05-15,80.0900
2012-05-16,80.3200
2012-05-17,79.2600
2012-05-18,79.1400
2012-05-21,79.3100
2012-05-22,79.9800
2012-05-23,79.3300
2012-05-24,79.4700
2012-05-25,79.6400
2012-05-28,.
2012-05-29,79.4400
2012-05-30,78.9300
2012-05-31,78.2900
2012-06-01,78.2100
2012-06-04,78.3000
2012-06-05,78.5700
2012-06-06,79.1100
2012-06-07,79.6700
2012-06-08,79.4700
2012-06-11,79.5000
2012-06-12,79.4400
2012-06-13,79.3500
2012-06-14,79.2900
2012-06-15,78.6500
2012-06-18,78.9500
2012-06-19,78.9200
2012-06-20,79.5400
2012-06-21,80.1800
2012-06-22,80.5200
2012-06-25,79.5000
2012-06-26,79.4600
2012-06-27,79.8300
2012-06-28,79.3500
2012-06-29,79.8100
2012-07-02,79.4200
2012-07-03,79.7700
2012-07-04,.
2012-07-05,79.9500
2012-07-06,79.6100
2012-07-09,79.6600
2012-07-10,79.4400
2012-07-11,79.7000
2012-07-12,79.2900
2012-07-13,79.2000
2012-07-16,78.8000
2012-07-17,79.0400
2012-07-18,78.7900
2012-07-19,78.6000
2012-07-20,78.4900
2012-07-23,78.3800
2012-07-24,78.1900
2012-07-25,78.2100
2012-07-26,78.2400
2012-07-27,78.5500
2012-07-30,78.2000
2012-07-31,78.1000
2012-08-01,78.1900
2012-08-02,78.2200
2012-08-03,78.6000
2012-08-06,78.1700
2012-08-07,78.7100
2012-08-08,78.4400
2012-08-09,78.6400
2012-08-10,78.2400
2012-08-13,78.3400
2012-08-14,78.8200
2012-08-15,78.8900
2012-08-16,79.2500
2012-08-17,79.5000
2012-08-20,79.4100
2012-08-21,79.4300
2012-08-22,79.1900
2012-08-23,78.4600
2012-08-24,78.6500
2012-08-27,78.6700
2012-08-28,78.5000
2012-08-29,78.7200
2012-08-30,78.5500
2012-08-31,78.3000
2012-09-03,.
2012-09-04,78.3500
2012-09-05,78.3400
2012-09-06,78.9600
2012-09-07,78.1400
2012-09-10,78.2400
2012-09-11,77.7800
2012-09-12,77.8600
2012-09-13,77.4100
2012-09-14,78.2200
2012-09-17,78.6800
2012-09-18,78.5900
2012-09-19,78.4000
2012-09-20,78.3000
2012-09-21,78.1700
2012-09-24,77.9000
2012-09-25,77.9100
2012-09-26,77.7800
2012-09-27,77.6200
2012-09-28,77.9200
2012-10-01,78.0000
2012-10-02,78.0100
2012-10-03,78.5700
2012-10-04,78.4400
2012-10-05,78.6600
2012-10-08,.
2012-10-09,78.2300
2012-10-10,78.2600
2012-10-11,78.4400
2012-10-12,78.3100
2012-10-15,78.7600
2012-10-16,78.9200
2012-10-17,78.7400
2012-10-18,79.2400
2012-10-19,79.2600
2012-10-22,79.8400
2012-10-23,79.7900
2012-10-24,79.8200
2012-10-25,80.0400
2012-10-26,79.6300
2012-10-29,79.8100
2012-10-30,79.5800
2012-10-31,79.9400
2012-11-01,80.1400
2012-11-02,80.5300
2012-11-05,80.1700
2012-11-06,80.2800
2012-11-07,79.8500
2012-11-08,79.7400
2012-11-09,79.4600
2012-11-12,.
2012-11-13,79.4200
2012-11-14,80.2000
2012-11-15,81.1600
2012-11-16,81.2800
2012-11-19,81.1800
2012-11-20,81.7200
2012-11-21,82.3600
2012-11-22,.
2012-11-23,82.3400
2012-11-26,82.1100
2012-11-27,82.2300
2012-11-28,81.8400
2012-11-29,82.0600
2012-11-30,82.5400
2012-12-03,82.2400
2012-12-04,81.8600
2012-12-05,82.4000
2012-12-06,82.2900
2012-12-07,82.3700
2012-12-10,82.3700
2012-12-11,82.4200
2012-12-12,83.1000
2012-12-13,83.5400
2012-12-14,83.5200
2012-12-17,83.7000
2012-12-18,84.0000
2012-12-19,84.3200
2012-12-20,84.3300
2012-12-21,84.1000
2012-12-24,84.8100
2012-12-25,.
2012-12-26,85.6200
2012-12-27,86.0600
2012-12-28,86.1200
2012-12-31,86.6400
2013-01-01,.
2013-01-02,87.1000
2013-01-03,86.9200
2013-01-04,88.1400
2013-01-07,87.6800
2013-01-08,87.3100
2013-01-09,87.9000
2013-01-10,88.1600
2013-01-11,89.2200
2013-01-14,89.3400
2013-01-15,88.6500
2013-01-16,88.6400
2013-01-17,89.4100
2013-01-18,89.9000
2013-01-21,.
2013-01-22,88.6200
2013-01-23,88.4400
2013-01-24,90.0400
2013-01-25,91.0400
2013-01-28,90.7300
2013-01-29,90.6500
2013-01-30,91.0500
2013-01-31,91.2800
2013-02-01,92.5400
2013-02-04,92.5700
2013-02-05,93.3400
2013-02-06,93.5600
2013-02-07,93.2400
2013-02-08,92.7200
2013-02-11,93.4400
2013-02-12,93.1400
2013-02-13,93.3900
2013-02-14,93.1000
2013-02-15,93.6400
2013-02-18,.
2013-02-19,93.5400
2013-02-20,93.5300
2013-02-21,92.9600
2013-02-22,93.3500
2013-02-25,93.3500
2013-02-26,91.3800
2013-02-27,91.8800
2013-02-28,92.3600
2013-03-01,93.3800
2013-03-04,93.3200
2013-03-05,93.3900
2013-03-06,93.6400
2013-03-07,95.0000
2013-03-08,96.0000
2013-03-11,96.1200
2013-03-12,95.9600
2013-03-13,96.0000
2013-03-14,96.1600
2013-03-15,95.2600
2013-03-18,94.9200
2013-03-19,94.8500
2013-03-20,95.5100
2013-03-21,95.0600
2013-03-22,94.4800
2013-03-25,94.3400
2013-03-26,94.2200
2013-03-27,94.3800
2013-03-28,94.0200
2013-03-29,94.1600
2013-04-01,93.3000
2013-04-02,93.4300
2013-04-03,92.9600
2013-04-04,96.1200
2013-04-05,96.8600
2013-04-08,98.9000
2013-04-09,99.0200
2013-04-10,99.6100
2013-04-11,99.4200
2013-04-12,98.9800
2013-04-15,98.0000
2013-04-16,97.8600
2013-04-17,97.7400
2013-04-18,98.2200
2013-04-19,99.2800
2013-04-22,99.2900
2013-04-23,99.4300
2013-04-24,99.3900
2013-04-25,99.4200
2013-04-26,97.8400
2013-04-29,98.0900
2013-04-30,97.5200
2013-05-01,97.2800
2013-05-02,97.9600
2013-05-03,99.1000
2013-05-06,99.3500
2013-05-07,99.0000
2013-05-08,98.9000
2013-05-09,99.2900
2013-05-10,101.7400
2013-05-13,101.8400
2013-05-14,102.1800
2013-05-15,102.4400
2013-05-16,102.2200
2013-05-17,102.9800
2013-05-20,102.5400
2013-05-21,102.3600
2013-05-22,103.5200
2013-05-23,101.6600
2013-05-24,100.9800
2013-05-27,.
2013-05-28,102.0700
2013-05-29,100.9100
2013-05-30,101.0600
2013-05-31,100.8300
2013-06-03,99.1800
2013-06-04,100.1500
2013-06-05,99.1600
2013-06-06,97.7600
2013-06-07,97.2000
2013-06-10,98.8800
2013-06-11,96.8200
2013-06-12,95.3600
2013-06-13,94.2900
2013-06-14,94.3400
2013-06-17,94.8700
2013-06-18,95.2000
2013-06-19,95.2200
2013-06-20,98.1800
2013-06-21,97.4800
2013-06-24,97.7000
2013-06-25,97.8700
2013-06-26,97.4300
2013-06-27,98.4000
2013-06-28,99.2100
2013-07-01,99.6200
2013-07-02,100.4300
2013-07-03,99.8200
2013-07-04,.
2013-07-05,100.9400
2013-07-08,101.0700
2013-07-09,101.0800
2013-07-10,100.1000
2013-07-11,98.8000
2013-07-12,99.3900
2013-07-15,100.0400
2013-07-16,99.3700
2013-07-17,99.7000
2013-07-18,100.6000
2013-07-19,100.3000
2013-07-22,99.6000
2013-07-23,99.7600
2013-07-24,100.2100
2013-07-25,99.5600
2013-07-26,98.2400
2013-07-29,97.8000
2013-07-30,98.0200
2013-07-31,98.3500
2013-08-01,99.3000
2013-08-02,99.0400
2013-08-05,98.5400
2013-08-06,97.8500
2013-08-07,96.7200
2013-08-08,96.0300
2013-08-09,96.2400
2013-08-12,96.4400
2013-08-13,98.0600
2013-08-14,98.1500
2013-08-15,97.8100
2013-08-16,97.6000
2013-08-19,97.9400
2013-08-20,97.1200
2013-08-21,97.6600
2013-08-22,98.5300
2013-08-23,98.5700
2013-08-26,98.6400
2013-08-27,97.3000
2013-08-28,97.6500
